ADJOE,ADJDE,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,3P_O,3P_D,ADJ_T,WIN_PCT,CONF_ACC,CONF_AE,CONF_ASun,CONF_Amer,CONF_B10,CONF_B12,CONF_BE,CONF_BSky,CONF_BSth,CONF_BW,CONF_CAA,CONF_CUSA,CONF_GWC,CONF_Horz,CONF_Ind,CONF_Ivy,CONF_MAAC,CONF_MAC,CONF_MEAC,CONF_MVC,CONF_MWC,CONF_NEC,CONF_OVC,CONF_P12,CONF_Pat,CONF_SB,CONF_SC,CONF_SEC,CONF_SWAC,CONF_Slnd,CONF_Sum,CONF_WAC,CONF_WCC
123.3,94.9,52.6,48.1,15.4,18.2,40.7,30.0,32.3,30.4,32.7,36.2,71.7,0.825,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
129.1,93.6,54.8,47.7,12.4,15.8,32.1,23.7,36.2,22.4,36.5,37.5,59.3,0.9,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
114.4,90.4,53.9,47.7,14.0,19.5,25.5,24.9,30.7,30.0,35.2,33.2,65.9,0.825,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115.2,85.2,53.5,43.0,17.7,22.8,27.4,28.7,32.9,36.6,36.5,29.7,67.5,0.8157894736842105,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
117.8,86.3,56.6,41.1,16.2,17.1,30.0,26.2,39.0,26.9,38.2,29.0,71.5,0.9487179487179488,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
117.2,96.2,49.9,46.0,18.1,16.1,42.0,29.7,51.8,36.8,33.2,32.2,65.9,0.725,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
121.5,93.7,54.6,48.0,14.6,18.7,32.5,29.4,28.4,22.7,37.9,32.6,64.8,0.7894736842105263,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125.2,90.6,56.6,46.5,16.3,18.6,35.8,30.2,39.8,23.9,38.7,31.4,66.4,0.8974358974358975,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123.0,89.9,55.2,44.7,14.7,17.5,30.4,25.4,29.1,26.3,39.5,28.9,60.7,0.9210526315789472,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
121.0,91.5,51.7,48.1,16.2,18.6,41.3,25.0,34.3,31.6,35.5,33.9,72.8,0.8461538461538461,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
123.1,90.9,56.1,46.7,16.3,20.6,28.2,29.4,34.1,30.0,36.2,33.9,66.7,0.875,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
128.4,94.1,59.5,48.5,15.0,18.2,29.6,27.1,29.4,26.7,40.1,31.7,69.6,0.9,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
112.5,91.3,51.5,44.6,17.3,19.6,30.4,32.8,38.3,35.7,38.7,33.0,64.8,0.8,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
115.9,84.5,50.6,44.8,18.3,27.0,38.2,33.3,40.0,34.9,33.3,31.8,67.1,0.875,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
109.4,87.4,47.7,44.0,17.2,21.3,34.7,30.8,38.7,33.3,30.7,30.3,65.6,0.75,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
125.3,98.6,58.3,47.9,14.5,17.3,27.9,32.2,36.7,24.1,39.0,32.6,63.9,0.8421052631578947,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118.3,103.3,54.0,49.5,15.3,14.8,32.7,32.1,32.9,26.0,37.4,36.9,65.5,0.6666666666666666,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
119.9,91.0,54.8,48.4,15.1,18.8,29.9,25.2,32.1,33.4,40.3,34.7,61.9,0.7837837837837838,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
122.3,92.9,55.9,46.4,17.5,17.3,38.8,30.0,34.6,22.3,37.2,32.0,70.9,0.7837837837837838,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
113.2,96.4,53.2,48.4,17.8,19.4,32.3,29.8,37.0,32.4,35.0,35.5,72.5,0.6571428571428571,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
118.9,89.2,53.6,45.0,17.5,19.4,35.6,29.5,33.2,24.0,30.8,29.9,73.6,0.8421052631578947,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
